"id"	"sample_id"	"t0_grade_id"	"validated"	"t4_grade_id"	"call_id"	"annotation"
2635	1127	17	"false"	17	1	
2636	1128	17	"false"	17	1	
2637	1129	17	"false"	17	1	
2638	1130	17	"false"	17	1	
2639	1132	17	"false"	17	1	
2640	1135	17	"false"	17	1	
2641	1138	17	"false"	17	1	
2642	1140	17	"false"	17	1	
2643	1141	17	"false"	17	1	
2644	1142	17	"false"	17	1	
2645	1143	17	"false"	17	1	
2646	1144	17	"false"	17	1	
2647	1145	17	"false"	17	1	
2648	1147	17	"false"	17	1	
2649	1148	17	"false"	17	1	
2650	1149	17	"false"	17	1	
2651	1150	17	"false"	17	1	
2652	1152	17	"false"	17	1	
2653	1153	17	"false"	17	1	
2654	1154	17	"false"	17	1	
2655	1155	17	"false"	17	1	
2657	1158	17	"false"	17	1	
2658	1159	17	"false"	17	1	
2659	1163	17	"false"	17	1	
2661	1167	17	"false"	17	1	
2662	1169	17	"false"	17	1	
2663	1170	17	"false"	17	1	
2664	1174	17	"false"	17	1	
2665	1176	17	"false"	17	1	
2666	1177	17	"false"	17	1	
2667	1178	17	"false"	17	1	
2668	1180	17	"false"	17	1	
2669	1181	17	"false"	17	1	
2670	1182	17	"false"	17	1	
2671	1184	17	"false"	17	1	
2672	1191	17	"false"	17	1	
2673	1193	29	"false"	29	1	
2674	1194	17	"false"	17	1	
2675	1195	21	"false"	21	1	
2676	1196	17	"false"	17	1	
2677	1197	17	"false"	17	1	
2678	1199	17	"false"	17	1	
2679	1202	17	"false"	17	1	
2680	1204	17	"false"	17	1	
2681	1205	17	"false"	17	1	
2683	1209	17	"false"	17	1	
2684	1211	17	"false"	17	1	
2685	1212	17	"false"	17	1	
